"","rfs","inc","eth","age","bcg","yse","mean","sd"
"200","Migrant","(Missing)","Other","(35,55]","Yes","(0,5]",0.473,0.058
"201","Contact","<40","White","(55,100]","Yes","(0,5]",0.219,0.029
"202","Migrant","<40","White","(55,100]","Yes","(0,5]",0.159,0.032
"203","Contact","41-100","White","(55,100]","Yes","(0,5]",0.302,0.034
"204","Migrant","41-100","White","(55,100]","Yes","(0,5]",0.225,0.037
"205","Contact","100-300","White","(55,100]","Yes","(0,5]",0.428,0.033
"206","Migrant","100-300","White","(55,100]","Yes","(0,5]",0.333,0.043
"207","Contact",">300","White","(55,100]","Yes","(0,5]",0.369,0.044
"208","Migrant",">300","White","(55,100]","Yes","(0,5]",0.281,0.048
"209","Contact","(Missing)","White","(55,100]","Yes","(0,5]",0.543,0.041
"210","Migrant","(Missing)","White","(55,100]","Yes","(0,5]",0.442,0.056
"211","Contact","<40","Black African or Caribbean","(55,100]","Yes","(0,5]",0.27,0.037
"212","Migrant","<40","Black African or Caribbean","(55,100]","Yes","(0,5]",0.199,0.037
"213","Contact","41-100","Black African or Caribbean","(55,100]","Yes","(0,5]",0.363,0.044
"214","Migrant","41-100","Black African or Caribbean","(55,100]","Yes","(0,5]",0.277,0.043
"215","Contact","100-300","Black African or Caribbean","(55,100]","Yes","(0,5]",0.496,0.04
"216","Migrant","100-300","Black African or Caribbean","(55,100]","Yes","(0,5]",0.397,0.047
"217","Contact",">300","Black African or Caribbean","(55,100]","Yes","(0,5]",0.434,0.048
"218","Migrant",">300","Black African or Caribbean","(55,100]","Yes","(0,5]",0.34,0.051
"219","Contact","(Missing)","Black African or Caribbean","(55,100]","Yes","(0,5]",0.609,0.047
"220","Migrant","(Missing)","Black African or Caribbean","(55,100]","Yes","(0,5]",0.51,0.06
"221","Contact","<40","South Asian","(55,100]","Yes","(0,5]",0.199,0.027
"222","Migrant","<40","South Asian","(55,100]","Yes","(0,5]",0.143,0.025
"223","Contact","41-100","South Asian","(55,100]","Yes","(0,5]",0.277,0.036
"224","Migrant","41-100","South Asian","(55,100]","Yes","(0,5]",0.204,0.031
"225","Contact","100-300","South Asian","(55,100]","Yes","(0,5]",0.398,0.03
"226","Migrant","100-300","South Asian","(55,100]","Yes","(0,5]",0.306,0.032
"227","Contact",">300","South Asian","(55,100]","Yes","(0,5]",0.341,0.043
"228","Migrant",">300","South Asian","(55,100]","Yes","(0,5]",0.257,0.04
"229","Contact","(Missing)","South Asian","(55,100]","Yes","(0,5]",0.512,0.043
"230","Migrant","(Missing)","South Asian","(55,100]","Yes","(0,5]",0.413,0.05
"231","Contact","<40","Other","(55,100]","Yes","(0,5]",0.232,0.03
"232","Migrant","<40","Other","(55,100]","Yes","(0,5]",0.169,0.031
"233","Contact","41-100","Other","(55,100]","Yes","(0,5]",0.318,0.036
"234","Migrant","41-100","Other","(55,100]","Yes","(0,5]",0.238,0.036
"235","Contact","100-300","Other","(55,100]","Yes","(0,5]",0.446,0.035
"236","Migrant","100-300","Other","(55,100]","Yes","(0,5]",0.35,0.042
"237","Contact",">300","Other","(55,100]","Yes","(0,5]",0.386,0.045
"238","Migrant",">300","Other","(55,100]","Yes","(0,5]",0.297,0.047
"239","Contact","(Missing)","Other","(55,100]","Yes","(0,5]",0.561,0.044
"240","Migrant","(Missing)","Other","(55,100]","Yes","(0,5]",0.461,0.056
"241","Contact","<40","White","(15,35]","(Missing)","(0,5]",0.2,0.025
"242","Migrant","<40","White","(15,35]","(Missing)","(0,5]",0.144,0.029
"243","Contact","41-100","White","(15,35]","(Missing)","(0,5]",0.278,0.031
"244","Migrant","41-100","White","(15,35]","(Missing)","(0,5]",0.205,0.034
"245","Contact","100-300","White","(15,35]","(Missing)","(0,5]",0.399,0.029
"246","Migrant","100-300","White","(15,35]","(Missing)","(0,5]",0.308,0.041
"247","Contact",">300","White","(15,35]","(Missing)","(0,5]",0.341,0.04
"248","Migrant",">300","White","(15,35]","(Missing)","(0,5]",0.258,0.044
"249","Contact","(Missing)","White","(15,35]","(Missing)","(0,5]",0.513,0.039
"250","Migrant","(Missing)","White","(15,35]","(Missing)","(0,5]",0.414,0.055
"251","Contact","<40","Black African or Caribbean","(15,35]","(Missing)","(0,5]",0.247,0.032
"252","Migrant","<40","Black African or Caribbean","(15,35]","(Missing)","(0,5]",0.181,0.033
"253","Contact","41-100","Black African or Caribbean","(15,35]","(Missing)","(0,5]",0.337,0.04
"254","Migrant","41-100","Black African or Caribbean","(15,35]","(Missing)","(0,5]",0.254,0.04
"255","Contact","100-300","Black African or Caribbean","(15,35]","(Missing)","(0,5]",0.467,0.035
"256","Migrant","100-300","Black African or Caribbean","(15,35]","(Missing)","(0,5]",0.369,0.043
"257","Contact",">300","Black African or Caribbean","(15,35]","(Missing)","(0,5]",0.406,0.042
"258","Migrant",">300","Black African or Caribbean","(15,35]","(Missing)","(0,5]",0.314,0.046
"259","Contact","(Missing)","Black African or Caribbean","(15,35]","(Missing)","(0,5]",0.581,0.045
"260","Migrant","(Missing)","Black African or Caribbean","(15,35]","(Missing)","(0,5]",0.481,0.058
"261","Contact","<40","South Asian","(15,35]","(Missing)","(0,5]",0.181,0.023
"262","Migrant","<40","South Asian","(15,35]","(Missing)","(0,5]",0.129,0.022
"263","Contact","41-100","South Asian","(15,35]","(Missing)","(0,5]",0.254,0.032
"264","Migrant","41-100","South Asian","(15,35]","(Missing)","(0,5]",0.186,0.028
"265","Contact","100-300","South Asian","(15,35]","(Missing)","(0,5]",0.37,0.024
"266","Migrant","100-300","South Asian","(15,35]","(Missing)","(0,5]",0.282,0.029
"267","Contact",">300","South Asian","(15,35]","(Missing)","(0,5]",0.315,0.038
"268","Migrant",">300","South Asian","(15,35]","(Missing)","(0,5]",0.235,0.036
"269","Contact","(Missing)","South Asian","(15,35]","(Missing)","(0,5]",0.483,0.04
"270","Migrant","(Missing)","South Asian","(15,35]","(Missing)","(0,5]",0.385,0.048
"271","Contact","<40","Other","(15,35]","(Missing)","(0,5]",0.212,0.027
"272","Migrant","<40","Other","(15,35]","(Missing)","(0,5]",0.153,0.029
"273","Contact","41-100","Other","(15,35]","(Missing)","(0,5]",0.293,0.034
"274","Migrant","41-100","Other","(15,35]","(Missing)","(0,5]",0.218,0.035
"275","Contact","100-300","Other","(15,35]","(Missing)","(0,5]",0.417,0.033
"276","Migrant","100-300","Other","(15,35]","(Missing)","(0,5]",0.324,0.041
"277","Contact",">300","Other","(15,35]","(Missing)","(0,5]",0.359,0.041
"278","Migrant",">300","Other","(15,35]","(Missing)","(0,5]",0.273,0.044
"279","Contact","(Missing)","Other","(15,35]","(Missing)","(0,5]",0.532,0.043
"280","Migrant","(Missing)","Other","(15,35]","(Missing)","(0,5]",0.432,0.056
"281","Contact","<40","White","(35,55]","(Missing)","(0,5]",0.26,0.033
"282","Migrant","<40","White","(35,55]","(Missing)","(0,5]",0.191,0.036
"283","Contact","41-100","White","(35,55]","(Missing)","(0,5]",0.352,0.038
"284","Migrant","41-100","White","(35,55]","(Missing)","(0,5]",0.267,0.041
"285","Contact","100-300","White","(35,55]","(Missing)","(0,5]",0.484,0.034
"286","Migrant","100-300","White","(35,55]","(Missing)","(0,5]",0.385,0.046
"287","Contact",">300","White","(35,55]","(Missing)","(0,5]",0.422,0.046
"288","Migrant",">300","White","(35,55]","(Missing)","(0,5]",0.329,0.051
"289","Contact","(Missing)","White","(35,55]","(Missing)","(0,5]",0.598,0.041
"290","Migrant","(Missing)","White","(35,55]","(Missing)","(0,5]",0.498,0.057
"291","Contact","<40","Black African or Caribbean","(35,55]","(Missing)","(0,5]",0.317,0.041
"292","Migrant","<40","Black African or Caribbean","(35,55]","(Missing)","(0,5]",0.237,0.042
"293","Contact","41-100","Black African or Caribbean","(35,55]","(Missing)","(0,5]",0.417,0.048
"294","Migrant","41-100","Black African or Caribbean","(35,55]","(Missing)","(0,5]",0.324,0.048
"295","Contact","100-300","Black African or Caribbean","(35,55]","(Missing)","(0,5]",0.552,0.041
"296","Migrant","100-300","Black African or Caribbean","(35,55]","(Missing)","(0,5]",0.452,0.049
"297","Contact",">300","Black African or Caribbean","(35,55]","(Missing)","(0,5]",0.49,0.049
"298","Migrant",">300","Black African or Caribbean","(35,55]","(Missing)","(0,5]",0.392,0.053
"299","Contact","(Missing)","Black African or Caribbean","(35,55]","(Missing)","(0,5]",0.661,0.046
"300","Migrant","(Missing)","Black African or Caribbean","(35,55]","(Missing)","(0,5]",0.566,0.059
"301","Contact","<40","South Asian","(35,55]","(Missing)","(0,5]",0.238,0.032
"302","Migrant","<40","South Asian","(35,55]","(Missing)","(0,5]",0.173,0.029
"303","Contact","41-100","South Asian","(35,55]","(Missing)","(0,5]",0.325,0.041
"304","Migrant","41-100","South Asian","(35,55]","(Missing)","(0,5]",0.244,0.037
"305","Contact","100-300","South Asian","(35,55]","(Missing)","(0,5]",0.453,0.033
"306","Migrant","100-300","South Asian","(35,55]","(Missing)","(0,5]",0.357,0.036
"307","Contact",">300","South Asian","(35,55]","(Missing)","(0,5]",0.393,0.046
"308","Migrant",">300","South Asian","(35,55]","(Missing)","(0,5]",0.302,0.044
"309","Contact","(Missing)","South Asian","(35,55]","(Missing)","(0,5]",0.568,0.045
"310","Migrant","(Missing)","South Asian","(35,55]","(Missing)","(0,5]",0.468,0.053
"311","Contact","<40","Other","(35,55]","(Missing)","(0,5]",0.275,0.036
"312","Migrant","<40","Other","(35,55]","(Missing)","(0,5]",0.203,0.037
"313","Contact","41-100","Other","(35,55]","(Missing)","(0,5]",0.369,0.042
"314","Migrant","41-100","Other","(35,55]","(Missing)","(0,5]",0.282,0.042
"315","Contact","100-300","Other","(35,55]","(Missing)","(0,5]",0.503,0.038
"316","Migrant","100-300","Other","(35,55]","(Missing)","(0,5]",0.403,0.046
"317","Contact",">300","Other","(35,55]","(Missing)","(0,5]",0.441,0.048
"318","Migrant",">300","Other","(35,55]","(Missing)","(0,5]",0.346,0.051
"319","Contact","(Missing)","Other","(35,55]","(Missing)","(0,5]",0.616,0.045
"320","Migrant","(Missing)","Other","(35,55]","(Missing)","(0,5]",0.517,0.058
"321","Contact","<40","White","(55,100]","(Missing)","(0,5]",0.251,0.033
"322","Migrant","<40","White","(55,100]","(Missing)","(0,5]",0.184,0.035
"323","Contact","41-100","White","(55,100]","(Missing)","(0,5]",0.341,0.04
"324","Migrant","41-100","White","(55,100]","(Missing)","(0,5]",0.257,0.041
"325","Contact","100-300","White","(55,100]","(Missing)","(0,5]",0.471,0.037
"326","Migrant","100-300","White","(55,100]","(Missing)","(0,5]",0.374,0.046
"327","Contact",">300","White","(55,100]","(Missing)","(0,5]",0.41,0.048
"328","Migrant",">300","White","(55,100]","(Missing)","(0,5]",0.318,0.051
"329","Contact","(Missing)","White","(55,100]","(Missing)","(0,5]",0.586,0.043
"330","Migrant","(Missing)","White","(55,100]","(Missing)","(0,5]",0.486,0.057
"331","Contact","<40","Black African or Caribbean","(55,100]","(Missing)","(0,5]",0.307,0.042
"332","Migrant","<40","Black African or Caribbean","(55,100]","(Missing)","(0,5]",0.229,0.041
"333","Contact","41-100","Black African or Caribbean","(55,100]","(Missing)","(0,5]",0.405,0.05
"334","Migrant","41-100","Black African or Caribbean","(55,100]","(Missing)","(0,5]",0.313,0.048
"335","Contact","100-300","Black African or Caribbean","(55,100]","(Missing)","(0,5]",0.54,0.044
"336","Migrant","100-300","Black African or Caribbean","(55,100]","(Missing)","(0,5]",0.44,0.05
"337","Contact",">300","Black African or Caribbean","(55,100]","(Missing)","(0,5]",0.478,0.051
"338","Migrant",">300","Black African or Caribbean","(55,100]","(Missing)","(0,5]",0.38,0.053
"339","Contact","(Missing)","Black African or Caribbean","(55,100]","(Missing)","(0,5]",0.65,0.047
"340","Migrant","(Missing)","Black African or Caribbean","(55,100]","(Missing)","(0,5]",0.554,0.06
"341","Contact","<40","South Asian","(55,100]","(Missing)","(0,5]",0.229,0.032
"342","Migrant","<40","South Asian","(55,100]","(Missing)","(0,5]",0.166,0.028
"343","Contact","41-100","South Asian","(55,100]","(Missing)","(0,5]",0.314,0.042
"344","Migrant","41-100","South Asian","(55,100]","(Missing)","(0,5]",0.235,0.036
